"year","month","NSWMetro","NSWNthCo","NSWSthCo","NSWSthIn","NSWNthIn"
"1998","01",9.0470953969,8.5656778903,5.818028804,2.6795379629,2.9775066618
"1998","04",6.9621258898,7.1244683616,2.4664367059,3.0107321547,3.4777027168
"1998","07",6.8719630475,4.7168931164,1.9280528335,3.3288690045,3.0147703307
"1998","10",7.1472926116,6.2692990649,2.7975559735,2.4177722355,3.757972112
"1999","01",7.9569228143,9.493901336,4.8536806796,3.2242854282,3.7907599002
"1999","04",6.5422432631,5.4012013894,2.759843103,2.428489038,3.3952839388
"1999","07",6.3303640784,5.5426258237,2.0418266248,2.8932734816,3.6261200939
"1999","10",7.50921219,6.3834736317,2.6506772206,2.8145780169,3.6914980271
"2000","01",7.6624905024,8.3370080096,5.367951355,2.5530720615,3.1358340131
"2000","04",6.341801885,4.9234761714,3.4607945337,2.3682105895,2.8246040466
"2000","07",7.827300649,5.1344912284,1.6061728533,2.9348929747,3.3906751543
"2000","10",9.5795622259,6.3898878082,2.5632538883,2.5612722262,2.946215151
"2001","01",8.2704883892,8.2593983426,4.9138456938,2.3781075896,3.1170188359
"2001","04",7.240426634,5.4426688179,3.143754048,2.8812883039,2.9674602041
"2001","07",6.6404896461,5.7674281126,1.7760689651,2.4709182833,3.1112544234
"2001","10",7.1118747783,5.6119100746,2.4379883115,2.5082590693,2.778671178
"2002","01",6.8278257096,9.50484267,4.5036775622,2.5391493242,3.2460549461
"2002","04",6.4049920352,6.0325248872,2.7389893225,2.3252628477,3.1824639957
"2002","07",6.6157601335,5.8240364124,2.597074341,3.6180771257,3.5507220564
"2002","10",7.2263764749,6.521765428,3.0361038506,2.5565700283,3.6547100698
"2003","01",7.5890582523,8.9850478921,5.3473485696,2.6453023789,2.5300925019
"2003","04",6.3345271859,5.58626359,2.4684390207,2.6131923596,3.0226127843
"2003","07",5.9967475196,5.4580921119,1.8395350605,3.0286057679,3.1382558479
"2003","10",6.6128461653,6.451381762,2.790800558,2.5921560951,2.7489808658
"2004","01",7.7582674934,8.5624033888,5.079241473,2.641145989,3.1135903744
"2004","04",6.7788356463,5.7690524682,2.2185871578,2.2771375542,3.4418461929
"2004","07",5.8544516077,5.4367937642,1.9741401055,3.0650549279,3.3618045901
"2004","10",6.2002138271,5.99755024,2.4473963381,2.9193186669,3.9274077527
"2005","01",7.1638299153,8.5610844135,5.1136888234,3.3088726539,3.7600088364
"2005","04",5.0822035794,5.1777180905,1.8481871164,2.6831265456,2.8669399567
"2005","07",5.6735513547,5.0616275233,1.7416601929,2.6800404701,3.1016098392
"2005","10",6.0899058008,5.1317934906,2.3480972056,1.7699479819,2.8322971413
"2006","01",8.525915574,7.948298965,5.067586035,2.452970974,2.986350536
"2006","04",6.569684438,6.220572149,2.359089016,2.17767174,2.84945493
"2006","07",5.771059328,5.720923248,1.799049343,2.776814372,2.925707247
"2006","10",6.692897342,5.861450471,2.705538984,1.963298024,2.885646047
"2007","01",8.1586575325,8.4929110516,4.0592279919,2.4904560947,3.1016742586
"2007","04",5.7100824346,5.6385429601,2.4222432441,2.4991545484,3.334822586
"2007","07",5.4025429286,5.2069026449,1.5719162791,2.5547025813,2.8221557321
"2007","10",6.8034937,6.4958672812,2.1235891187,2.2569786182,2.6655082138
"2008","01",7.8662692994,8.859705052,5.0579949978,2.4858709226,3.2824560455
"2008","04",5.6167038447,5.1696164927,2.225727241,1.9615350424,2.9444948212
"2008","07",5.8867639607,4.6773354324,1.6886075339,2.4292341715,2.7726931196
"2008","10",5.506298475,6.0631736447,2.5510461768,2.5678505883,2.8927270796
"2009","01",6.7872254196,8.3960698536,4.6428893396,2.0365386507,2.631521285
"2009","04",5.3613172195,4.7013955331,2.1226352331,1.9921290531,2.6493920161
"2009","07",4.6993495426,4.7020307055,1.2608963537,2.9670964351,2.8604497357
"2009","10",6.2087840697,6.590312614,2.394690798,2.2725636849,2.7069879752
"2010","01",7.1482622018,7.6749298901,4.6382318937,2.1705571101,2.6959454197
"2010","04",4.8502174843,4.8861404891,1.8698049694,2.1410730501,3.2080419405
"2010","07",6.0294895211,5.6014507478,1.5857820635,3.3282496982,2.8281163775
"2010","10",6.238902535,5.6818853405,2.2878081107,2.3021432629,2.6216497601
"2011","01",7.5974675006,8.2975316058,4.553495719,2.2222617583,2.5283720409
"2011","04",5.8159295915,6.0036093396,2.2106994555,2.0874703124,3.0034454287
"2011","07",6.1832387666,5.0430165599,1.9718814369,3.3679050723,2.9326568968
"2011","10",5.9290301327,6.1416923945,1.9905918267,2.1672175206,2.8400028582
"2012","01",7.9869310625,8.2306579564,4.5478329954,2.0962836495,2.8631534243
"2012","04",5.3078709729,5.2153094043,2.2162563298,2.3219558624,3.3449713652
"2012","07",6.0541116938,5.6805821001,1.4635971793,2.5347282122,2.8339606021
"2012","10",6.0238968728,6.8185129932,2.3033887414,2.4248361161,3.2558814566
"2013","01",7.0284801217,7.7642699323,5.0277673373,2.9565868646,3.4431752167
"2013","04",5.8134500297,5.2726028288,2.3318583286,2.2388514081,2.9518076474
"2013","07",6.3228414263,5.2543575449,2.0278621661,2.7113736671,2.8308045768
"2013","10",7.1016905301,6.5219791206,2.7692486992,2.3293020431,2.6020722877
"2014","01",7.8973159874,8.5634743312,4.2093004592,2.7311911395,2.5819996133
"2014","04",5.9974675568,6.0059107861,2.4004955828,2.6856321538,2.868704147
"2014","07",6.0335328619,5.8468729335,1.6623378486,2.8962982354,2.948054131
"2014","10",7.1033975236,5.7902886435,2.8313549748,2.4005822718,3.7548553579
"2015","01",8.7251316209,7.8757250582,4.8117832296,2.4598219704,2.7188231247
"2015","04",6.9958746449,6.021249171,2.7661029166,2.2109626289,3.4451206746
"2015","07",6.294489763,5.4864287051,2.0975442689,3.0797256992,2.8776987027
"2015","10",6.9454763386,6.8181651733,2.5614404583,2.6308741812,3.7760766923
"2016","01",7.3737573472,9.9454150882,4.7891942037,2.7678529688,2.8713755134
"2016","04",6.7922336825,6.6640993605,2.3202285337,2.6913646789,3.9284621831
"2016","07",6.5305680256,5.9784578276,1.6510912338,3.2695653975,3.5144310073
"2016","10",7.8782768422,7.3620449339,2.713210265,2.7393918013,3.4907209024
